paper_id,title,abstract,in_out,in_out_ignoring_exclcrit2,criteria,has intervention,is on older adults,has tech,has SI,remote,Rand
81,Intelligent integrated networks for aged people,"With the aging of the population and the increase of the health risks, the percentage of old singles grows tremendously. Loneliness and fear are common among elderly people seem to be related to each other and were both found to be ""threats"" to a good life in old age. ICT and technological innovations in other fields offer opportunities to bring independent living in old age. Smart home and consumer electronic developments can make management of the home and everyday living a lot easier for older people. But the automation of a domotic house shouldn't risk to take away the few social contacts an old user still has with human beings. The automation of a domotic house shouldn't risk to take away the few social contacts an old user still has with human beings. The intelligent houses for the old people should consider three class of functions: safety and security, environment comfort and sanitary surveillance. These activities are carried out with respect to the security, the safety and the privacy of the user. In this paper we propose an architecture that allows the maximum help to old people, but that respect their needs. It is organized in two logical networks: a Daily Support Network (DSN) and a Village Network (VN). The focus of this architecture is based on human aspects of the elderly people needs, to improve the quality of life of elderly people and their caregivers. The final goal is facilitating an independent and not isolated, good social life, inside one's home as long as possible.",0,0,"no SI, no intervention",0,,,,,0.2974377968
341,Evaluation of community planning and life of senior cohousing projects in Northern European countries,"Cohousing schemes were evolved as alternative housing to reduce housework for working women, and to reduce loneliness of elderly people by promoting active mutual relationship with community residents in northern European countries. This article discusses how residents manage their life in senior cohousing projects in Sweden and Denmark. The purpose of this study is to investigate residents' life satisfaction connected with demographic characteristics of residents, physical environment and common activities in the senior cohousing communities, so that it could offer usable information for the establishment of new senior cohousing projects in other countries, as well as an empirical evaluation of the existing projects in Scandinavian countries themselves. Important variables influential to residents' life satisfaction are also discussed in order to improve senior citizens' quality of life. The methods used for the study are literature review, interviews, field trips and questionnaire. Nine hundred and thirty-five postal questionnares were sent to 28 senior cohousing communities throughout Denmark and Sweden. Of those 536 replies were collected and analysed by SPSS program using frequency, mean and Chi-square test. As a result, it was found out that most of the respondents are healthy, 70-year-olds, and satisfied with their current living in the community. The majority of them also would like to strongly recommend others to move to senior cohousing schemes to improve quality of life in their later years. Residents' intensive concern about building location and design is a noteworthy reminder for designers and architects as well as for professionals and decision-makers who work in the elderly welfare sector. © 2004 Taylor & Francis Ltd.",0,0,"not SI, no tech",1,,,,,0.1671291807
298,Senior centers: Traditional and evolving roles,"The first senior center in the United States, the William Hodson Community Center in New York City, opened its doors in 1943. Its purpose was to reach out to people who had retired but needed a place to gather to stay connected to others. Senior centers serve as an entry point for the aging service network and protect against social isolation. One popular perception - that senior centers are welfare programs - has inhibited many elders from seeking services, and it needs to be dispelled. These centers do not just offer low-cost meals, nor provide institution-like services; they are diverse and vital institutions. Recent studies indicate that participation in senior centers has been declining, and center personnel are looking for new ways to reach the ""young- old"" who have yet to participate and the ""old-old"" who may face challenges getting to the center. Pharmacists are in the ideal position to offer health and wellness programming and caregiver education in this setting. Senior centers are also good places to train students, who are often surprised at the range of seniors' interests and cognitive abilities. © 2012 American Society of Consultant Pharmacists, Inc. All rights reserved.",0,0,"not SI, no tech",1,,,,,0.4627739433
303,"Geriatric vision loss due to cataracts, macular degeneration, and glaucoma","The major causes of impaired vision in the elderly population of the United States are cataracts, macular degeneration, and open-angle glaucoma. Cataracts and macular degeneration usually reduce central vision, especially reading and near activities, whereas chronic glaucoma characteristically attacks peripheral vision in a silent way, impacting balance, walking, and driving. Untreated, these visual problems lead to issues with regard to taking medications, keeping track of finances and personal information, walking, watching television, and attending the theater, and often create social isolation. Thus, visually impaired individuals enter nursing homes 3 years earlier, have twice the risk of falling, and have 4x the risk of hip fracture. Consequently, many elderly with low vision exercise greater demands on community services. With the prospect of little improvement and sustained visual loss, in the face of poor tolerance of low-vision services and not accepting magnification as the only way to read, clinical depression is common. In many instances, however, early and accurate diagnosis can result in timely treatment and can preserve quality of life. This review will look at current diagnostic and therapeutic considerations. Currently, about 20.5 million people in the United States have cataracts. The number will reach 30 million by 2020. About 1.75 million Americans currently have some form of macular degeneration, and the number is estimated to increase to 2.95 million in 2020. Approximately 2.2 million Americans have glaucoma, and by 2020 that number is estimated to be close to 3.4 million people. It is projectedthat by 2030 there will be 72.1 million seniors. With some overlap of the above 3 groups conservatively estimated (if you add the 2030 cataract group to the macular degeneration and glaucoma groups), then about 1 in 2 senior individuals by 2030 may have some significant ocular disease, which could account for about 50% of the healthcare budget for the elderly. © 2012 Mount Sinai School of Medicine.",0,0,"not SI, no tech",1,,,,,0.2067674508
250,Morphine treatment during juvenile isolation increases social activity and opioid peptides release in the adult rat,"The consequences of juvenile isolation and morphine treatment on general activity, social activity and endogenous opioid release during a social interaction test were investigated in the adult rat. Rats were either isolated or socially housed during weeks 4 and 5 of age and treated daily during this isolation period subcutaneously with either saline or morphine. Directly after a social interaction test at 10 weeks of age, rats were injected with [3H]-diprenorphine and subsequently prepared for in vivo autoradiography. The autoradiographic technique was used to visualise neuroanatomical changes in opioid receptor occupancy, probably reflecting changes in opioid peptide release, as a result of social activity. Juvenile isolation increased general activity during the social interaction test, an effect which was accompanied by a reduction of opioid receptor occupancy in many brain areas, suggesting an increased opioid peptide release as a consequence of socially-induced general activity. Morphine treatment in isolated rats caused an increase in adult social activity and enhanced opioid peptide release in some cortical regions and the ventral tegmental area as compared to saline treated rats. Both social activity and opioid receptor occupancy were unaffected by morphine treatment in non-isolated rats. The present study underscores the role of opioid systems in adult social behaviors as a consequence of juvenile isolation. The results suggest a relationship between social activity and opioid peptide release during social contact. Increased social activity seems to be accompanied by elevated opioid peptide release in distinct brain areas after morphine treatment during juvenile isolation.",0,0,"not OA, not SI, no tech",1,,,,,0.2472920772
273,Using assistive technologies to improve lives of older adults and people with disabilities,"In recent times, the use of the Internet and the World Wide Web has significantly impacted our lives and daily activities. From 2000-2011, the use of the Internet has increased to 151.7% within North America. As infrastructures in all parts of the continent continue to improve and advance the technological capabilities of the Internet and the World Wide Web, more individuals are its communications potential. Unfortunately, many individuals do not realize that aging or a disability can change how they interact with these two technologies. In the technological society of the United States, there is a gap between young people and older individuals, especially when it comes to using the Internet and the World Wide Web. Older individuals are less inclined to use the Internet or the World Wide Web; and young people generally stereotype older individuals as lonely, conservative, and closed-minded to technology. However, younger individuals do not understand the effects of aging, especially when using mobile or computer technologies. One aspect of this research paper will explore, what types of educational tools exist to help younger people understands the effects of aging? For older individuals, the experience of loneliness can lead to mental health conditions including depression. In addition, older adults who do not stimulate their cognitive memories can lead to Alzheimer's Syndrome and other memory loss conditions. Surprisingly, there is an increase of older adults using the Internet for communications. However, there are still some challenges older adults face with technology. Older individuals may have a fixed income or rely on Social Security or Disability support; this creates problems as computers can be expensive to purchase. In addition, older adults may have difficulties with using the computer, as far as using the hardware or software components. Software obstacles include: small text size, complex menus options, and high level of stimulation from animated software components. This can also include the use of the Internet and the World Wide Web. This research will study the interactions between older adults and their use of mainstream technologies. Although older individuals and people with disabilities have increased their use of the Internet they share common difficulties and complications. In addition, their disabilities often expand the aging complications that older adults experience. For people with disabilities, their main struggle is integration within today's society, especially using the computer technologies or Internet. This research will also explore what assistive technology software is available to older individuals and people with disabilities, the emerging field of open source assistive technology, and how assistive technology improves the quality of life of these individuals. © 2012 IEEE.",0,0,not SI,1,,,,,0.332633623
379,Getting Grandma Online: Are Tablets the Answer for Increasing Digital Inclusion for Older Adults in the U.S.?,"Using information and communication technologies (ICTs) can improve older adults’ quality of life. ICT use is associated with decreased feelings of loneliness and depression, along with increased feelings of independence and personal growth. However, limited access and low technological self-efficacy are key reasons why some groups, especially older adults, are excluded from being fully engaged in the digital world. In this study, we focus on older adults’ technological self-efficacy, which is related to their actual use of technology and the second level digital divide. Specifically, we examine: (a) how older adults decide to use a new technology, tablet computers; (b) how they conquer the barrier of technological self-efficacy through using tablets; and (c) the impacts of using this new technology in their lives. Twenty-one in-depth interviews were conducted with older adults residing in independent living communities in a medium-sized city in the Deep South region of the United States. Observational and enactive learning played important roles for older adults in using tablets. Seeing others use tablets, getting recommendations from family members, or having tablets given to them were the primary reasons they started to use tablet computers. The ease of use feature of tablets helped solve the problem of lacking technological self-efficacy. Using tablets helped increase a sense of connectedness. Tablet computers may be one way to increase digital inclusion among older adults. © 2015, Copyright © Taylor & Francis Group, LLC.",0,?,"survey, no intervention",0,,,,,0.8725333355
45,Social isolation of older people: The role of domestic technologies,"This paper explores the role of domestic technologies for addressing social isolation of older people. Despite the increasing use of information and communication technologies, social isolation remains an issue amongst older people. Assistive technologies address important health needs, but there is a lack of social technologies that adequately deal with social isolation. This paper contributes to knowledge about the everyday life of older people for the purpose of designing appropriate social technology. We present an overview of the findings of a three-stage study-an expert survey, a field study and a design workshop-and describe a set of needs to inform the design of technology for ameliorating the social isolation of older people. Copyright the author(s) and CHISIG.",0,0,"no remote, no SI",1,,,,,0.6194251221
18,Empowering and integrating senior citizens with virtual coaching (Workshop summary),"With Europe's aging population and an increasing number of older people living alone or geographically distant from kin, loneliness is turning into a prevalent issue. This might involve deleterious consequences for both the older person and society, such as depression and increased use of healthcare services. Virtual coaches that act as friend in a para-social relationship but also as mentor that helps the elderly end-user to create meaningful relationships in his actual social environment are a powerful method to overcome loneliness and increase the quality of life in the elderly population. The AAL Joint Programme projects A2E2 (AAL-2008-1-071) and V2me (AAL-2009-2-107) are exploring virtual coaches and their application in AAL scenarios, including the use of user avatars, virtual self-representations that allow the user to be represented in communication scenarios. Other European research projects that focus on social integration of the elderly are e.g. ALICE (AAL-2009-2-091) or WeCare (AAL-2009-2-026). Outside the European Union the negative implications of population aging can be observed in Japan, having an even larger proportion of senior citizens, using individual-centred devices, such as robot pets [1], to improve the quality of life of lonely elderly persons. The user groups involved often are not acquainted with modern ICT systems and therefore it is a challenge to create intuitive, adaptive platforms that cater to the individual needs and allow the user to interact easily. © 2012 Springer-Verlag.",0,1,no intervention,0,,,,,0.4663035708
186,Impact of senior center friendships on aging women who live alone,"Elderly women who live alone are considered at greater risk for loneliness, depression, and decreased mobility. This paper examines the influences of late-life friendships and senior center activities on the health and well-being of aging women living alone. Based on the findings from 274 women living alone it was found that the senior center is an excellent environment where new supportive friendships can easily be formed. These friendships and other center activities have positive mental and physical outcomes. Using a comparison group of 171 elderly women living with their spouses, it was discovered that women who lived alone participated in center activities more frequently and, as a result, also created a social network that extended outside of the center environment. © 2006 by The Haworth Press, Inc. All rights reserved.",0,0,no tech,1,,,,,0.1843767189
320,Coping with ageing and failing health: A qualitative study among elderly living alone,"The purpose of this study was to gain a more comprehensive understanding of how the elderly cope with being sick, unhealthy and living alone. Qualitative research interviews using a hermeneutic approach was undertaken to explore how the patients experienced coping with their daily life. Twenty patients with an average age of 82 years having different injuries and diseases were interviewed. The interviews were audiotaped, transcribed and analysed in a hermeneutical tradition of the hermeneutic circle: part-whole, pre-understanding-understanding, and primary, secondary and basic themes. Findings showed that even if physical constraints put limits on their level of activity, the elderly were able to adapt and carry out different activities that did not require any physical strength. The main coping strategy was to accept the situation, but the acceptance was often coloured by a resigned and passive acceptance. If the elderly tend to be passive and resigned, it can be necessary for the community nurses to have a more active problem-solving approach to these patients, in order to help them creating a daily rhythm with which they can feel comfortable. © 2009 Blackwell Publishing Asia Pty Ltd.",0,0,"not SI, no tech",1,,,,,0.8956696427
150,Portraits of loneliness: Emerging themes among community-dwelling older adults,"With aging comes a multitude of possible losses, including loss of health, spouse, friends, or independence. These losses can place older adults at risk for isolation and loneliness. Loneliness is of significant concern in older adults, as it can negatively affect their quality of life. An interpretive phenomenological study was conducted to explore the meaning of loneliness in 12 older adults living in the community. Selected excerpts from the participants reveal several themes, as well as the importance of maintaining meaningful connections and relationships with others to alleviate feelings of loneliness. Nurses can become more attuned to the problem of loneliness in older adults and the importance of helping their older clients maintain meaningful connections with others to reduce loneliness. © SLACK Incorporated.",0,0,no tech,1,,,,,0.8313110612
319,Nursing interventions to assist in decreasing stress in caregivers of Alzheimer's patients.,"Alzheimer's Disease (AD), the most progressive, degenerative neurologic disease of the brain and the most common cause of cognitive impairment in older adults, affects people who are beyond the 65 year age range. Although AD may affect people who are younger, it is definitely a painful and stressful experience for the patient as well as for loved ones. There are many stressors involved in the care of a person affected by AD: loneliness, depression, coping with unpredictable patient behavior, lack of knowledge regarding care of AD patients, etc. Monitoring the safety of AD patients and taking care of basic needs are sometimes challenging for caregivers. Nursing interventions would include: encouraging caregivers to learn more about the disease, understand what is available in the community for social support and understand legal and financial issues.",0,0,"not SI, no tech",1,,,,,0.6050064953
292,Living within your limits': Activity restriction in older people experiencing chronic pain,"Background: Although maintaining activity is key to successful pain management, and important to health and wellbeing, it is known that older people in pain frequently alter or reduce activity levels. A 'fear-avoidance' model is often used to explain avoidance of activity in the face of pain. However, this model is not intended to take account of the wider context in which activity changes take place, nor older people's own explanations for their behaviour. Objective: to investigate the reasons why older people in the community adjust their activity levels when living with chronic pain. Methods: thirty-one people aged between 67 and 92 were purposively sampled from respondents to a community-based cross-sectional survey. All participants had reported long-term pain and were interviewed about this. Data were collected and analysed using a qualitative constructivist grounded theory approach. Findings: explanations for deliberative reduction or ceasing of activities reflected a desire to prevent pain exacerbation, thereby avoiding medical intervention. It also reflected a desire to safeguard autonomy in the face of pain in older age. Restrictions were often rationalised as normal in older age, although co-existing accounts of perseverance and frustration with limitation were also evident. Conclusions: a rational desire to avoid pain exacerbation and medical intervention motivated restrictions to activity. However, deliberative limitation of activity has the potential to compromise autonomy by increasing social isolation and de-conditioning. Supporting older people with pain to be active requires sensitivity to the function of activity restriction, especially as a means of preventing deterioration. © The Author 2013. Published by Oxford University Press on behalf of the British Geriatrics Society. All rights reserved.",0,0,"not SI, no tech",1,,,,,0.9988032282
208,The suicidal patient in long-term care institutions.,"In comparison with older adults living in the community, elders who are institutionalized are older, sicker, and more likely to have no living family members, factors that place them at risk for suicide. Somatization, or physical suffering, is a frequently overlooked symptom of elderly depression, perhaps because it is falsely assumed that such symptoms expressed by the older adult are normal concomitants of aging. Strengthening and extending existing family roles in supporting the elder who is suicidal and depressed is vital to reducing loneliness, emotional pain, loss of independence, and to increasing self-concept. An expanded knowledge of mental health needs of older adults and their families is critical in suicide prevention. A major step toward prevention is the recognition of depressive symptomatology and key elements and clues to suicide in the institutionalized elderly.",0,0,no tech,1,,,,,0.5119192095
155,Dispositional optimism and loneliness in older men,"Background Dispositional optimism, defined as a generalized tendency to positive outcome expectancies, is associated with well-being and successful aging. However, it remains unclear whether optimism is also correlated to less feelings of loneliness over time. We aimed to determine whether dispositional optimism is prospectively associated with less feelings of loneliness, independently of potential confounders inherent to the aging process. Methods We observed 416 older men aged between 70 and 89 years (mean 74.9years, standard deviation [SD] 4.7 years) within the population-based Zutphen Elderly Study during 10 years of follow-up. Baseline dispositional optimism was assessed using a four-item questionnaire. The presence of feelings of loneliness, the main outcome of our study, was assessed using the 11-item loneliness scale of De Jong Gierveld in the years 1990, 1993, 1995, and 2000. The association between baseline dispositional optimism and loneliness over time was tested by using multilevel regression analysis and by adjusting for potential confounders (i.e. age, living arrangement, social contacts, widowhood, memberships, self-rated health, and depressive symptoms). Results Feelings of loneliness significantly increased during 10years of follow-up but showed temporal stability (reliability coefficient 0.78). Low baseline dispositional optimism was strongly associated with loneliness over time, also in the adjusted analysis. A 1 SD increase in baseline dispositional optimism was associated with a 0.14 SD (95% confidence interval 0.04-0.23) lower level of loneliness (F1,3207.8; p=0.006). Conclusions Dispositional optimism is correlated to lower feelings of loneliness over time in older men, independently of depression or changes in social network. © 2011 John Wiley &amp; Sons, Ltd.",0,0,no tech,1,,,,,0.2891093795
107,Association of social isolation and health across different racial and ethnic groups of older Americans,"Social isolation is a social and public health problem that affects people of all ages, especially elders. Previous studies have found that social isolation across numerous industrialised countries is associated with negative health outcomes. However, it is unknown whether and how this association differs by race/ethnicity and age. To begin to address this gap, this study examines the association of social isolation and physical and mental health among Black, White and Hispanic elders in the United States of America. Building on Cornwell and Waite's perceived isolation and social disconnectedness dimension model of social isolation, the author used multi-stage survey data from a nationally representative sample of 3,005 community-residing adults aged 57-85 from the National Social Life, Health, and Aging Project. Tests for association were conducted on health by age, gender, marital status, education and race/ethnicity separately. Multivariate logistic regressions were used to test the association of social isolation and health exclusively and separately among these three groups. Results showed that social isolation is strongly associated with physical and mental health. Both perceived isolation and social disconnectedness had a significant negative association with physical and mental health among White elders. For Blacks, social disconnectedness is negatively associated with their physical health while perceived isolation had a negative association with mental health. Among Hispanic elders, there seemed to be no association between social isolation and physical health, but a significant negative association was found with their mental health. Despite various associated patterns, however, social isolation overall was associated with health outcomes that were similar across three elder groups. By identifying factors influencing social isolation and health among minority older Americans, this study has relevance to the development of culturally sensitive health-care practice and services, which may be applicable to minority elders in different countries. © 2014 Cambridge University Press.",0,0,no tech,1,,,,,0.7325267786
